support.logger 2024-07-21 01:33:20,042 INFO Chrome starts
support.logger 2024-07-21 01:33:21,367 INFO Opening page https://the-internet.herokuapp.com
support.logger 2024-07-21 01:33:23,945 INFO Opening page https://the-internet.herokuapp.com/horizontal_slider
support.logger 2024-07-21 01:33:24,157 INFO Getting original driver from selenium
support.logger 2024-07-21 01:33:24,157 INFO Horizontal Slider is opening
support.logger 2024-07-21 01:33:24,157 INFO Horizontal Slider page is opening
support.logger 2024-07-21 01:33:24,157 INFO Waiting for presence of element
support.logger 2024-07-21 01:33:24,168 INFO Move slides right for 5 moves
support.logger 2024-07-21 01:33:24,168 INFO Waiting for presence of element
support.logger 2024-07-21 01:33:24,175 INFO Move arrow for %d moves
support.logger 2024-07-21 01:33:24,207 INFO Move arrow for %d moves
support.logger 2024-07-21 01:33:24,230 INFO Move arrow for %d moves
support.logger 2024-07-21 01:33:24,250 INFO Move arrow for %d moves
support.logger 2024-07-21 01:33:24,272 INFO Move arrow for %d moves
support.logger 2024-07-21 01:33:24,294 INFO Getting slider value
support.logger 2024-07-21 01:33:24,294 INFO Getting element ('xpath', "//div[@class='sliderContainer']//span[@id='range']") text
support.logger 2024-07-21 01:33:24,317 INFO Closing the browser
support.logger 2024-07-21 01:33:30,515 INFO Chrome starts
support.logger 2024-07-21 01:33:31,856 INFO Opening page https://the-internet.herokuapp.com
support.logger 2024-07-21 01:33:35,002 INFO Opening page https://the-internet.herokuapp.com/javascript_alerts
support.logger 2024-07-21 01:33:35,213 INFO Getting original driver from selenium
support.logger 2024-07-21 01:33:35,215 INFO JavaScripts Alerts is opening
support.logger 2024-07-21 01:33:35,215 INFO JavaScripts Alerts page is opening
support.logger 2024-07-21 01:33:35,215 INFO Waiting for presence of element
support.logger 2024-07-21 01:33:35,227 INFO JS alert is opening
support.logger 2024-07-21 01:33:35,227 INFO Clicking on element
support.logger 2024-07-21 01:33:35,276 INFO Getting  alert text
support.logger 2024-07-21 01:33:35,277 INFO Alert is opening
support.logger 2024-07-21 01:33:35,278 INFO Switching to alert
support.logger 2024-07-21 01:33:35,279 INFO Accept the alert
support.logger 2024-07-21 01:33:35,285 INFO Getting result alert text
support.logger 2024-07-21 01:33:35,285 INFO Getting element ('xpath', "//p[@id='result' and contains(text(), 'You')]") text
support.logger 2024-07-21 01:33:35,307 INFO JS confirm is opening
